date	close
17-Aug-13	2
18-Aug-13	4
19-Aug-13	6
20-Aug-13	6
21-Aug-13	5
22-Aug-13	2
23-Aug-13	2
24-Aug-13	6
25-Aug-13	5
26-Aug-13	5
27-Aug-13	5
28-Aug-13	9
29-Aug-13	7
30-Aug-13	3
31-Aug-13	4
01-Sep-13	3
02-Sep-13	3
03-Sep-13	9
04-Sep-13	3
05-Sep-13	3
06-Sep-13	3
07-Sep-13	7
08-Sep-13	2
09-Sep-13	3
10-Sep-13	7
11-Sep-13	4
12-Sep-13	4
13-Sep-13	2
14-Sep-13	3
15-Sep-13	3
16-Sep-13	2
17-Sep-13	2
18-Sep-13	2
19-Sep-13	3
20-Sep-13	2
21-Sep-13	3
22-Sep-13	6
23-Sep-13	2
24-Sep-13	7
25-Sep-13	2
26-Sep-13	2
27-Sep-13	1
29-Sep-13	3
30-Sep-13	2
01-Oct-13	4
04-Oct-13	4
05-Oct-13	1
06-Oct-13	1
07-Oct-13	2
08-Oct-13	2
09-Oct-13	1
10-Oct-13	1
11-Oct-13	2
12-Oct-13	3
13-Oct-13	4
14-Oct-13	2
15-Oct-13	3
16-Oct-13	5
17-Oct-13	3
18-Oct-13	1
19-Oct-13	1
22-Oct-13	3
23-Oct-13	2
24-Oct-13	3
25-Oct-13	1
26-Oct-13	2
27-Oct-13	5
28-Oct-13	2
29-Oct-13	7
30-Oct-13	3
31-Oct-13	5
01-Nov-13	1
02-Nov-13	2
03-Nov-13	2
04-Nov-13	3
05-Nov-13	2
06-Nov-13	4
09-Nov-13	2
10-Nov-13	1
11-Nov-13	5
12-Nov-13	4
13-Nov-13	5
14-Nov-13	3
15-Nov-13	5
16-Nov-13	3
17-Nov-13	5
18-Nov-13	7
19-Nov-13	5
20-Nov-13	1
21-Nov-13	5
22-Nov-13	2
23-Nov-13	2
24-Nov-13	3
25-Nov-13	7
26-Nov-13	3
27-Nov-13	4
28-Nov-13	5
29-Nov-13	6
30-Nov-13	4
01-Dec-13	4
02-Dec-13	4
03-Dec-13	4
04-Dec-13	4
05-Dec-13	5
06-Dec-13	3
08-Dec-13	2
09-Dec-13	3
10-Dec-13	2
11-Dec-13	4
12-Dec-13	3
13-Dec-13	3
14-Dec-13	1
15-Dec-13	1
16-Dec-13	3
17-Dec-13	3
18-Dec-13	3
19-Dec-13	2
20-Dec-13	3
21-Dec-13	3
22-Dec-13	7
23-Dec-13	5
24-Dec-13	1
25-Dec-13	6
26-Dec-13	7
27-Dec-13	5
28-Dec-13	6
29-Dec-13	6
30-Dec-13	5
31-Dec-13	4
01-Jan-14	5
02-Jan-14	7
03-Jan-14	4
04-Jan-14	6
05-Jan-14	2
06-Jan-14	6
07-Jan-14	7
08-Jan-14	5
09-Jan-14	3
10-Jan-14	4
11-Jan-14	4
12-Jan-14	5
13-Jan-14	4
14-Jan-14	2
15-Jan-14	2
16-Jan-14	1
17-Jan-14	3
18-Jan-14	2
19-Jan-14	2
20-Jan-14	7
